kata_kunci,jenis_perkara,label
intimidasi,Pengancaman,Berat
sandera,Penyanderaan,Sangat Berat
menyandera,Penyanderaan,Sangat Berat
penyanderaan,Penyanderaan,Sangat Berat
senjata,Perampokan Bersenjata,Sangat Berat
bersenjata,Perampokan Bersenjata,Sangat Berat
pisau,Perampokan Bersenjata,Sangat Berat
parang,Perampokan Bersenjata,Sangat Berat
pistol,Perampokan Bersenjata,Sangat Berat
revolver,Perampokan Bersenjata,Sangat Berat
penipuan,Penipuan,Berat
tipu,Penipuan,Berat
menipu,Penipuan,Berat
penipu,Penipuan,Berat
modus,Penipuan,Berat
bodong,Penipuan,Berat
investasi,Penipuan Investasi,Berat
investasibodong,Penipuan Investasi,Berat
arisan,Penipuan Arisan,Berat
arisanbodong,Penipuan Arisan,Berat
online,Penipuan Online,Berat
transfer,Penipuan Online,Berat
rekening,Penipuan Online,Berat
phishing,Penipuan Siber,Berat
scam,Penipuan Siber,Berat
penggelapan,Penggelapan,Berat
gelap,Penggelapan,Berat
menggelapkan,Penggelapan,Berat
penggelap,Penggelapan,Berat
mobil,Penggelapan Kendaraan,Berat
motor,Penggelapan Kendaraan,Berat
kendaraan,Penggelapan Kendaraan,Berat
uang,Penggelapan Uang,Berat
dana,Penggelapan Uang,Berat
kas,Penggelapan Keuangan,Berat
aset,Penggelapan Aset,Berat
cek,Penggelapan Dokumen,Berat
sertifikat,Penggelapan Dokumen,Berat
amanah,Penggelapan,Berat
titipan,Penggelapan,Berat
narkotika,Narkotika,Sangat Berat
narkoba,Narkotika,Sangat Berat
sabu,Narkotika,Sangat Berat
sabu-sabu,Narkotika,Sangat Berat
ganja,Narkotika,Sangat Berat
ekstasi,Narkotika,Sangat Berat
putau,Narkotika,Sangat Berat
kokain,Narkotika,Sangat Berat
heroin,Narkotika,Sangat Berat
morfin,Narkotika,Sangat Berat
psikotropika,Psikotropika,Berat
obatterlarang,Obat Terlarang,Berat
pilkoplo,Obat Terlarang,Berat
tramadol,Obat Terlarang,Berat
trihexyphenidyl,Obat Terlarang,Berat
edar,Peredaran Narkotika,Sangat Berat
pengedar,Peredaran Narkotika,Sangat Berat
mengedar,Peredaran Narkotika,Sangat Berat
kurir,Peredaran Narkotika,Sangat Berat
bandar,Peredaran Narkotika,Sangat Berat
menanam,Budidaya Narkotika,Sangat Berat
menyimpan,Kepemilikan Narkotika,Sangat Berat
memiliki,Kepemilikan Narkotika,Sangat Berat
menguasai,Kepemilikan Narkotika,Sangat Berat
mengonsumsi,Penyalahgunaan Narkotika,Berat
pemakai,Penyalahgunaan Narkotika,Berat
miras,Minuman Keras,Ringan
minumankeras,Minuman Keras,Ringan
alkohol,Minuman Keras,Ringan
oplosan,Minuman Keras Oplosan,Berat
pemerkosaan,Pemerkosaan,Sangat Berat
perkosa,Pemerkosaan,Sangat Berat
memperkosa,Pemerkosaan,Sangat Berat
pemerkosa,Pemerkosaan,Sangat Berat
pencabulan,Pencabulan,Sangat Berat
cabul,Pencabulan,Sangat Berat
mencabuli,Pencabulan,Sangat Berat
pelecehan,Pelecehan Seksual,Berat
melecehkan,Pelecehan Seksual,Berat
seksual,Pelecehan Seksual,Berat
eksploitasi,Eksploitasi Seksual,Sangat Berat
prostitusi,Prostitusi,Berat
mucikari,Perdagangan Orang,Sangat Berat
psk,Prostitusi,Berat
pornografi,Pornografi,Berat
pornoaksi,Pornografi,Berat
asusila,Tindak Pidana Kesusilaan,Berat
inses,Inses,Sangat Berat
persetubuhan,Persetubuhan Terlarang,Sangat Berat
anak,Kejahatan Seksual terhadap Anak,Sangat Berat
dibawahumur,Kejahatan Seksual terhadap Anak,Sangat Berat
pedofilia,Pedofilia,Sangat Berat
pedofil,Pedofilia,Sangat Berat
humantrafficking,Perdagangan Orang,Sangat Berat
trafiking,Perdagangan Orang,Sangat Berat
perdaganganorang,Perdagangan Orang,Sangat Berat
korbanseksual,Kejahatan Seksual,Sangat Berat
obscenity,Pornografi,Berat
amoral,Kesusilaan,Berat
mesum,Perbuatan Asusila,Ringan
korupsi,Korupsi,Sangat Berat
koruptor,Korupsi,Sangat Berat
mengkorupsi,Korupsi,Sangat Berat
suap,Suap,Sangat Berat
menyuap,Suap,Sangat Berat
penyuapan,Suap,Sangat Berat
gratifikasi,Gratifikasi,Sangat Berat
komisi,Gratifikasi,Berat
fee,Gratifikasi,Berat
mark up,Korupsi Pengadaan,Sangat Berat
markup,Korupsi Pengadaan,Sangat Berat
pengadaan,Korupsi Pengadaan,Berat
anggaran,Penyalahgunaan Anggaran,Berat
apbd,Penyalahgunaan Anggaran,Berat
apbn,Penyalahgunaan Anggaran,Berat
penggelapanjabatan,Penyalahgunaan Jabatan,Sangat Berat
jabatan,Penyalahgunaan Jabatan,Berat
wewenang,Penyalahgunaan Wewenang,Berat
menyalahgunakan,Penyalahgunaan Wewenang,Berat
nepotisme,Nepotisme,Berat
kolusi,Kolusi,Berat
kkn,Korupsi Kolusi Nepotisme,Sangat Berat
pungli,Pungutan Liar,Berat
pungutanliar,Pungutan Liar,Berat
uangpelicin,Suap,Sangat Berat
kickback,Suap,Sangat Berat
proyekfiktif,Korupsi Proyek,Sangat Berat
fiktif,Korupsi Proyek,Berat
audit,Tindak Pidana Jabatan,Ringan
bpk,Tindak Pidana Jabatan,Ringan
terorisme,Terorisme,Sangat Berat
teroris,Terorisme,Sangat Berat
radikal,Radikalisme,Berat
radikalisme,Radikalisme,Berat
bom,Pengeboman,Sangat Berat
bomrakitan,Pengeboman,Sangat Berat
peledak,Bahan Peledak,Sangat Berat
dinamit,Bahan Peledak,Sangat Berat
granat,Bahan Peledak,Sangat Berat
detonator,Bahan Peledak,Sangat Berat
ledakan,Pengeboman,Sangat Berat
meledakkan,Pengeboman,Sangat Berat
senjataapi,Kepemilikan Senjata Api Ilegal,Sangat Berat
senpi,Kepemilikan Senjata Api Ilegal,Sangat Berat
pistol,Kepemilikan Senjata Api Ilegal,Sangat Berat
revolver,Kepemilikan Senjata Api Ilegal,Sangat Berat
senapan,Kepemilikan Senjata Api Ilegal,Sangat Berat
amunisi,Amunisi Ilegal,Sangat Berat
peluru,Amunisi Ilegal,Sangat Berat
laras,Senjata Api,Berat
makar,Makar,Sangat Berat
spionase,Spionase,Sangat Berat
intelijen,Kejahatan Keamanan Negara,Berat
sabotase,Sabotase,Sangat Berat
penyelundupansenjata,Penyelundupan Senjata,Sangat Berat
penyelundupanamunisi,Penyelundupan Amunisi,Sangat Berat
jaringanteroris,Terorisme,Sangat Berat
pendanaanterorisme,Pendanaan Terorisme,Sangat Berat
isis,Terorisme,Sangat Berat
jihadbersenjata,Terorisme,Sangat Berat
pemalsuan,Pemalsuan Dokumen,Berat
palsu,Pemalsuan Dokumen,Berat
memalsukan,Pemalsuan Dokumen,Berat
dokumenpalsu,Pemalsuan Dokumen,Berat
suratpalsu,Pemalsuan Surat,Berat
ijazahpalsu,Pemalsuan Ijazah,Berat
sertifikatpalsu,Pemalsuan Sertifikat,Berat
ktppalsu,Pemalsuan Identitas,Berat
simpalsu,Pemalsuan Identitas,Berat
pasporpalsu,Pemalsuan Identitas,Sangat Berat
identitaspalsu,Pemalsuan Identitas,Berat
uangpalsu,Pemalsuan Mata Uang,Sangat Berat
rupiahpalsu,Pemalsuan Mata Uang,Sangat Berat
meteraipalsu,Pemalsuan Meterai,Berat
cekpalsu,Pemalsuan Dokumen Keuangan,Berat
ttdpalsu,Pemalsuan Tanda Tangan,Berat
tandatanganpalsu,Pemalsuan Tanda Tangan,Berat
peretasan,Kejahatan Siber,Berat
hack,Kejahatan Siber,Berat
hacker,Kejahatan Siber,Berat
meretas,Kejahatan Siber,Berat
malware,Kejahatan Siber,Berat
virus,Kejahatan Siber,Berat
ransomware,Kejahatan Siber,Sangat Berat
ddos,Serangan Siber,Berat
carding,Kejahatan Siber,Berat
skimming,Kejahatan Siber,Berat
phising,Kejahatan Siber,Berat
cybercrime,Kejahatan Siber,Berat
databocor,Kebocoran Data,Berat
perjudian,Perjudian,Berat
judi,Perjudian,Berat
berjudi,Perjudian,Berat
judionline,Perjudian Online,Berat
slot,Perjudian Online,Berat
togel,Perjudian,Berat
sabungayam,Perjudian,Berat
kasino,Perjudian,Berat
bandarjudi,Perjudian,Berat
pelacuran,Prostitusi,Berat
mucikari,Mucikari,Sangat Berat
gigolo,Prostitusi,Berat
eksploitasikorban,Perdagangan Orang,Sangat Berat
mirasilegal,Pelanggaran Minuman Keras,Ringan
mirasoplosan,Minuman Keras Oplosan,Berat
keributan,Ketertiban Umum,Ringan
tawuran,Tawuran,Berat
anarkis,Perusakan Ketertiban Umum,Berat
vandalisme,Vandalisme,Berat
merusakfasilitumum,Perusakan Fasilitas Umum,Berat
balapliar,Balap Liar,Ringan
konvoiliar,Gangguan Ketertiban Umum,Ringan
resah,Gangguan Ketertiban Umum,Ringan
ketertibanumum,Ketertiban Umum,Ringan
illegallogging,Illegal Logging,Berat
pembalakanliar,Illegal Logging,Berat
menebangliar,Illegal Logging,Berat
kayuillegal,Illegal Logging,Berat
hutanlindung,Perusakan Hutan,Berat
perambahhutan,Perambahan Hutan,Berat
perambahan,Perambahan Hutan,Berat
kebakaranhutan,Pembakaran Hutan,Sangat Berat
membakarhutan,Pembakaran Hutan,Sangat Berat
lahanterbakar,Pembakaran Lahan,Berat
limbah,Pencemaran Lingkungan,Berat
limbahb3,Pencemaran Lingkungan,Sangat Berat
pencemaran,Pencemaran Lingkungan,Berat
cemarsungai,Pencemaran Air,Berat
pencemaranair,Pencemaran Air,Berat
pencemaranudara,Pencemaran Udara,Berat
tambangilegal,Pertambangan Ilegal,Sangat Berat
galianilegal,Pertambangan Ilegal,Berat
emasilegal,Pertambangan Emas Ilegal,Sangat Berat
merkuri,Pencemaran Merkuri,Sangat Berat
bomikan,Penangkapan Ikan Ilegal,Sangat Berat
racunikan,Penangkapan Ikan Ilegal,Sangat Berat
trawl,Penangkapan Ikan Ilegal,Berat
satwadilindungi,Perdagangan Satwa Dilindungi,Sangat Berat
harimau,Perdagangan Satwa Dilindungi,Sangat Berat
gajah,Perdagangan Satwa Dilindungi,Sangat Berat
trenggiling,Perdagangan Satwa Dilindungi,Sangat Berat
kukang,Perdagangan Satwa Dilindungi,Sangat Berat
perburuanliar,Perburuan Liar,Berat
memburusatwa,Perburuan Liar,Berat
lakalantas,Kecelakaan Lalu Lintas,Ringan
kecelakaan,Kecelakaan Lalu Lintas,Ringan
tabrakan,Kecelakaan Lalu Lintas,Ringan
tabraklari,Tabrak Lari,Berat
tabrak,Kecelakaan Lalu Lintas,Ringan
ugalugalan,Mengemudi Berbahaya,Berat
melawanarus,Pelanggaran Lalu Lintas,Ringan
mabuk,Mengemudi dalam Pengaruh Alkohol,Berat
mengemudimabuk,Mengemudi dalam Pengaruh Alkohol,Berat
simpalsu,Pemalsuan SIM,Berat
tanpasim,Mengemudi Tanpa SIM,Ringan
tanpastnk,Pelanggaran Administrasi Kendaraan,Ringan
kendaraanbodong,Kendaraan Ilegal,Berat
curanmor,Pencurian Kendaraan Bermotor,Berat
nomorrangkadipalsukan,Pemalsuan Identitas Kendaraan,Berat
platpalsu,Pemalsuan Plat Nomor,Berat
knalpotbrong,Pelanggaran Lalu Lintas,Ringan
muatanberlebih,Pelanggaran Angkutan,Berat
overload,Pelanggaran Angkutan,Berat
odol,Pelanggaran Angkutan,Berat
angkutanilegal,Angkutan Ilegal,Berat
trayekilegal,Angkutan Ilegal,Berat
parkirliar,Pelanggaran Ketertiban Lalu Lintas,Ringan
liar,Pelanggaran Ketertiban Lalu Lintas,Ringan
kendaraanmodifikasi,Pelanggaran Kendaraan,Ringan
konvoi,Gangguan Ketertiban Lalu Lintas,Ringan
strobo,Penyalahgunaan Perlengkapan Kendaraan,Ringan
sirine,Penyalahgunaan Perlengkapan Kendaraan,Ringan
helm,Pelanggaran Keselamatan Berkendara,Ringan
pengrusakan,Pengrusakan,Berat
merusak,Pengrusakan,Berat
perusakan,Pengrusakan,Berat
membakar,Pembakaran,Berat
pembakaran,Pembakaran,Berat
bakarrumah,Pembakaran Rumah,Sangat Berat
bakarkendaraan,Pembakaran Kendaraan,Berat
ledakkan,Perusakan dengan Peledak,Sangat Berat
hancurkan,Perusakan,Berat
rusakberat,Perusakan Berat,Berat
fasilitasumum,Perusakan Fasilitas Umum,Berat
gedungpemerintah,Perusakan Aset Negara,Sangat Berat
jembatan,Perusakan Infrastruktur,Berat
jalan,Perusakan Infrastruktur,Ringan
relkereta,Perusakan Infrastruktur,Sangat Berat
gardulistrik,Perusakan Infrastruktur,Sangat Berat
amukmassa,Perusakan oleh Massa,Berat
penjarahan,Penjarahan,Sangat Berat
jarah,Penjarahan,Sangat Berat
menjarah,Penjarahan,Sangat Berat
coretan,Vandalisme,Ringan
graffiti,Vandalisme,Ringan
pecahkaca,Perusakan Properti,Berat
rusakrumah,Perusakan Properti,Berat
rusakkendaraan,Perusakan Kendaraan,Berat
bommolotov,Pembakaran,Sangat Berat
pembongkaranliar,Perusakan Bangunan,Berat
penyelundupan,Penyelundupan,Berat
selundup,Penyelundupan,Berat
menyelundupkan,Penyelundupan,Berat
imporilegal,Pelanggaran Kepabeanan,Berat
eksporilegal,Pelanggaran Kepabeanan,Berat
barangsitaan,Pelanggaran Kepabeanan,Ringan
rokokilegal,Perdagangan Barang Ilegal,Berat
minyakilegal,Perdagangan Barang Ilegal,Berat
bbmilegal,Perdagangan BBM Ilegal,Sangat Berat
elpijiilegal,Perdagangan Barang Ilegal,Berat
pupukilegal,Perdagangan Barang Ilegal,Berat
obatilegal,Peredaran Obat Ilegal,Sangat Berat
kosmetikilegal,Peredaran Kosmetik Ilegal,Berat
makananilegal,Pelanggaran Perlindungan Konsumen,Berat
kedaluwarsa,Pelanggaran Perlindungan Konsumen,Berat
barangpalsu,Perdagangan Barang Palsu,Berat
merekpalsu,Pelanggaran Hak Merek,Berat
hakcipta,Pelanggaran Hak Cipta,Berat
pembajakan,Pembajakan,Berat
bajak,Pembajakan,Berat
uanggelap,Pencucian Uang,Sangat Berat
pencucianuang,Pencucian Uang,Sangat Berat
tppu,Tindak Pidana Pencucian Uang,Sangat Berat
devisa,Pelanggaran Devisa,Berat
valutaasing,Pelanggaran Devisa,Berat
manipulasipasar,Kejahatan Ekonomi,Berat
kartel,Persaingan Usaha Tidak Sehat,Berat
monopoli,Persaingan Usaha Tidak Sehat,Berat
penimbunan,Penimbunan Barang,Berat
spekulan,Kejahatan Ekonomi,Berat
penelantaran,Penelantaran,Ringan
telantar,Penelantaran,Ringan
menelantarkan,Penelantaran,Berat
kdrt,Kekerasan Dalam Rumah Tangga,Berat
kekerasanrumahtangga,Kekerasan Dalam Rumah Tangga,Berat
suami,KDRT,Ringan
istri,KDRT,Ringan
anakterlantar,Penelantaran Anak,Berat
eksploitasianak,Eksploitasi Anak,Sangat Berat
pekerjaanak,Eksploitasi Anak,Berat
pengemisanak,Eksploitasi Anak,Berat
penganiayaananak,Penganiayaan Anak,Sangat Berat
bullying,Perundungan,Ringan
perundungan,Perundungan,Ringan
intimidasi,Perundungan,Ringan
diskriminasi,Diskriminasi,Ringan
ujarankebencian,Ujaran Kebencian,Berat
hatecrime,Ujaran Kebencian,Berat
rasisme,Diskriminasi Ras,Berat
sara,Ujaran Kebencian SARA,Berat
fitnah,Fitnah,Ringan
pencemarannamabaik,Pencemaran Nama Baik,Ringan
hoaks,Penyebaran Berita Bohong,Berat
beritabohong,Penyebaran Berita Bohong,Berat
provokasi,Provokasi,Berat
hasutan,Penghasutan,Berat
penghinaan,Penghinaan,Ringan
pengancamandigital,Ancaman Melalui Media Elektronik,Berat
doxing,Pelanggaran Privasi,Berat
cyberbullying,Perundungan Siber,Berat
penghinaanpresiden,Penghinaan terhadap Presiden,Berat
penghinaanpemerintah,Penghinaan terhadap Pemerintah,Berat
menghalangipenyidikan,Menghalangi Proses Hukum,Berat
obstruction,Menghalangi Proses Hukum,Berat
melarikantahanan,Membantu Pelarian Tahanan,Sangat Berat
pelariantahanan,Pelarian Tahanan,Berat
kaburtahanan,Pelarian Tahanan,Berat
sumpahpalsu,Sumpah Palsu,Berat
keterangandusta,Keterangan Palsu,Berat
kesaksianpalsu,Kesaksian Palsu,Berat
menghinaagama,Penodaan Agama,Sangat Berat
penodaanagama,Penodaan Agama,Sangat Berat
penistaanagama,Penodaan Agama,Sangat Berat
menghasut,Penghasutan,Berat
menghalangipetugas,Melawan Petugas,Berat
melawanpetugas,Melawan Petugas,Berat
kabur,Melarikan Diri,Ringan
buronan,Buronan,Berat
dpo,Daftar Pencarian Orang,Berat
residivis,Residivis,Berat
pengulangan,Pengulangan Tindak Pidana,Berat
penadah,Penadahan,Berat
penadahan,Penadahan,Berat
barangcurian,Penadahan,Berat
penyalahgunaanjabatan,Penyalahgunaan Jabatan,Sangat Berat
menguasaiaset,Penguasaan Aset Secara Ilegal,Berat
perintahpalsu,Penyalahgunaan Wewenang,Berat
pemufakatanjahat,Pemufakatan Jahat,Sangat Berat
permufakatan,Pemufakatan Jahat,Sangat Berat
percobaankejahatan,Percobaan Tindak Pidana,Berat
curanmor,Curanmor,Berat
pencurian motor,Curanmor,Berat
curi motor,Curanmor,Berat
motor dicuri,Curanmor,Berat
kendaraan bermotor,Curanmor,Berat
curas,Curas,Sangat Berat
pencurian dengan kekerasan,Curas,Sangat Berat
perampasan,Curas,Sangat Berat
rampas,Curas,Sangat Berat
begal,Curas,Sangat Berat
curat,Curat,Berat
pencurian dengan pemberatan,Curat,Berat
bobol rumah,Curat,Berat
bongkar rumah,Curat,Berat
pencurian rumah,Curat,Berat
pencabulan anak,Pencabulan Anak,Sangat Berat
cabul anak,Pencabulan Anak,Sangat Berat
pelecehan anak,Pencabulan Anak,Sangat Berat
kekerasan seksual anak,Pencabulan Anak,Sangat Berat
persetubuhan anak,Persetubuhan Anak,Sangat Berat
setubuhi anak,Persetubuhan Anak,Sangat Berat
hubungan seksual anak,Persetubuhan Anak,Sangat Berat
pemerkosaan anak,Persetubuhan Anak,Sangat Berat
tindak pidana umum,Tindak Pidana Umum,Berat
pidum,Tindak Pidana Umum,Berat
pelanggaran ketertiban umum,Pelanggaran Ketertiban Umum,Ringan
keributanwarga,Ketertiban Umum,Ringan
keributanmasyarakat,Ketertiban Umum,Ringan
gangguanketertiban,Gangguan Ketertiban Umum,Ringan
gangguanketertibanumum,Gangguan Ketertiban Umum,Ringan
gangguanwarga,Gangguan Ketertiban Umum,Ringan
menggangguketertiban,Gangguan Ketertiban Umum,Ringan
cekcok,Ketertiban Umum,Ringan
cekcokwarga,Ketertiban Umum,Ringan
perselisihanwarga,Ketertiban Umum,Ringan
pertengkaranwarga,Ketertiban Umum,Ringan
balapanliar,Balap Liar,Ringan
balapmotorliar,Balap Liar,Ringan
balapliarmotor,Balap Liar,Ringan
konvoikendaraan,Gangguan Ketertiban Umum,Ringan
konvoimotor,Gangguan Ketertiban Umum,Ringan
meresahkanwarga,Gangguan Ketertiban Umum,Ringan
meresahkanmasyarakat,Gangguan Ketertiban Umum,Ringan
gangguanmasyarakat,Gangguan Ketertiban Umum,Ringan
kecelakaanlalulintas,Kecelakaan Lalu Lintas,Ringan
kecelakaanmotor,Kecelakaan Lalu Lintas,Ringan
kecelakaanmobil,Kecelakaan Lalu Lintas,Ringan
kecelakaankendaraan,Kecelakaan Lalu Lintas,Ringan
tabrakankendaraan,Kecelakaan Lalu Lintas,Ringan
tabrakanmotor,Kecelakaan Lalu Lintas,Ringan
tabrakanmobil,Kecelakaan Lalu Lintas,Ringan
pelanggaranlalulintas,Pelanggaran Lalu Lintas,Ringan
pelanggaranrambu,Pelanggaran Lalu Lintas,Ringan
melanggarambu,Pelanggaran Lalu Lintas,Ringan
tidakpakaihelm,Pelanggaran Keselamatan Berkendara,Ringan
tanpahelm,Pelanggaran Keselamatan Berkendara,Ringan
tidakmenggunakanhelm,Pelanggaran Keselamatan Berkendara,Ringan
knalpotbising,Pelanggaran Lalu Lintas,Ringan
knalpotracing,Pelanggaran Lalu Lintas,Ringan
parkirtidakberaturan,Pelanggaran Ketertiban Lalu Lintas,Ringan
parkirsembangan,Pelanggaran Ketertiban Lalu Lintas,Ringan
parkirsembarangan,Pelanggaran Ketertiban Lalu Lintas,Ringan
modifikasikendaraan,Pelanggaran Kendaraan,Ringan
tidakpakaihelm,Pelanggaran Keselamatan Berkendara,Ringan
coratcoret,Vandalisme,Ringan
grafiti,Vandalisme,Ringan
coretandinding,Vandalisme,Ringan
vandalisme,Vandalisme,Ringan
jalanrusak,Perusakan Infrastruktur,Ringan
kerusakanjalan,Perusakan Infrastruktur,Ringan
gangguanjalan,Ketertiban Umum,Ringan
ditelantarkan,Penelantaran,Ringan
ejekan,Perundungan,Ringan
olokoolok,Perundungan,Ringan
menghina,Penghinaan,Ringan
pencemarannama,Pencemaran Nama Baik,Ringan
melarikandiri,Melarikan Diri,Ringan
suara keras,Ketertiban Umum,Ringan
suarakeras,Ketertiban Umum,Ringan
musikkeras,Ketertiban Umum,Ringan
musikkeras,Ketertiban Umum,Ringan
kebisingan,Ketertiban Umum,Ringan
berisik,Ketertiban Umum,Ringan
menggangguwarga,Ketertiban Umum,Ringan
mengganggumasyarakat,Ketertiban Umum,Ringan
pelanggaranzebra,Pelanggaran Marka Jalan,Ringan
markajalan,Pelanggaran Marka Jalan,Ringan
melanggar marka,Pelanggaran Marka Jalan,Ringan
parkirdibahu,Pelanggaran Parkir,Ringan
parkirdijalur,Pelanggaran Parkir,Ringan
parkirdi trotoar,Pelanggaran Parkir,Ringan
trotoar,Pelanggaran Fasilitas Pejalan Kaki,Ringan
gangguantrotoar,Pelanggaran Fasilitas Pejalan Kaki,Ringan
penyeberangansembarangan,Pelanggaran Ketertiban Jalan,Ringan
menyeberangsembarangan,Pelanggaran Ketertiban Jalan,Ringan
balapliarmobil,Balap Kendaraan Liar,Ringan
balapliarmotor,Balap Kendaraan Liar,Ringan
kebisingankendaraan,Gangguan Kebisingan Kendaraan,Ringan
knalpotbising,Gangguan Kebisingan Kendaraan,Ringan
musikkeras,Gangguan Kebisingan,Ringan
suaramusikkeras,Gangguan Kebisingan,Ringan
berisik,Gangguan Kebisingan,Ringan
keramaian,Gangguan Ketertiban Lingkungan,Ringan
keramaianwarga,Gangguan Ketertiban Lingkungan,Ringan
gangguanlingkungan,Gangguan Ketertiban Lingkungan,Ringan
buangsampah,Pelanggaran Kebersihan Lingkungan,Ringan
buangsampahsembarangan,Pelanggaran Kebersihan Lingkungan,Ringan
sampahsembarangan,Pelanggaran Kebersihan Lingkungan,Ringan
bakarsampah,Pembakaran Sampah,Ringan
pembakaransampah,Pembakaran Sampah,Ringan
hewanberkeliaran,Gangguan Hewan Ternak,Ringan
ternakberkeliaran,Gangguan Hewan Ternak,Ringan
anjingberkeliaran,Gangguan Hewan Peliharaan,Ringan
hewanpeliharaan,Gangguan Hewan Peliharaan,Ringan
coretkanpapan,Vandalisme Ringan,Ringan
coretafasilitas,Vandalisme Ringan,Ringan
rusakpapan,Perusakan Fasilitas Ringan,Ringan
rusakrambu,Perusakan Rambu Lalu Lintas,Ringan
ramburusak,Perusakan Rambu Lalu Lintas,Ringan
rambulalulintas,Perusakan Rambu Lalu Lintas,Ringan
pelanggaranrambu,Pelanggaran Rambu Lalu Lintas,Ringan
lampumerah,Pelanggaran Lampu Lalu Lintas,Ringan
teroboslampumerah,Pelanggaran Lampu Lalu Lintas,Ringan
meneroboslampumerah,Pelanggaran Lampu Lalu Lintas,Ringan
boncengantigaa,Pelanggaran Kapasitas Kendaraan,Ringan
boncengantiga,Pelanggaran Kapasitas Kendaraan,Ringan
tidakpakaisabuk,Pelanggaran Keselamatan Kendaraan,Ringan
tanpasabukpengaman,Pelanggaran Keselamatan Kendaraan,Ringan
sabukpengaman,Pelanggaran Keselamatan Kendaraan,Ringan
suratkendaraan,Pelanggaran Administrasi Kendaraan,Ringan
pajakkendaraan,Pelanggaran Administrasi Kendaraan,Ringan
pajakkendaraanmati,Pelanggaran Administrasi Kendaraan,Ringan
kendaraanbelumpajak,Pelanggaran Administrasi Kendaraan,Ringan
platnomortidakada,Pelanggaran Administrasi Kendaraan,Ringan
platnomor,Pelanggaran Administrasi Kendaraan,Ringan
lampukendaraan,Pelanggaran Perlengkapan Kendaraan,Ringan
lampumati,Pelanggaran Perlengkapan Kendaraan,Ringan
